chunk_id;node_1;node_2;edge
de8390d2666c4b31ab146f95461b7042;mrs. dursley;their son;Mrs. Dursley is the mother of 'their son', as indicated by her response to Mr. Dursley's question about his age.
de8390d2666c4b31ab146f95461b7042;their son;howard/harry;The son of the Dursleys is named Harry, but Mr. Dursley mistakenly refers to him as Howard, indicating a possible disconnect or lack of familiarity with 'their son'.
de8390d2666c4b31ab146f95461b7042;harry;nasty, common name;Mr. Dursley expresses a negative opinion about the name Harry, suggesting a potential issue with their son's name.
de8390d2666c4b31ab146f95461b7042;harry;potters;The surname of the Dursleys' son is Potter, and Mr. Dursley wonders if there is a connection between the Potters and the cat's behavior in the garden.
8851b56c021a4ef699f2778ff2b00d8a;cat;privet drive;The cat is present at Privet Drive
8851b56c021a4ef699f2778ff2b00d8a;man;corner;The man appeared on the corner where the cat had been watching
8851b56c021a4ef699f2778ff2b00d8a;man;albus dumbledore;The man is referred to as Albus Dumbledore later in the context
8851b56c021a4ef699f2778ff2b00d8a;albus dumbledore;tall, thin and very old;The context describes Albus Dumbledore as tall, thin, and very old
8851b56c021a4ef699f2778ff2b00d8a;albus dumbledore;silver hair and beard;The context describes Albus Dumbledore's hair and beard as silver
8851b56c021a4ef699f2778ff2b00d8a;albus dumbledore;long robes, purple cloak and high-heeled boots;The context describes Albus Dumbledore's attire as long robes, a purple cloak and high-heeled boots
8851b56c021a4ef699f2778ff2b00d8a;albus dumbledore;blue eyes, light, bright and sparkling behind half-moon spectacles;The context describes Albus Dumbledore's eyes as blue, light, bright and sparkling behind half-moon spectacles
8851b56c021a4ef699f2778ff2b00d8a;albus dumbledore;long and crooked nose;The context describes Albus Dumbledore's nose as long and crooked
8851b56c021a4ef699f2778ff2b00d8a;albus dumbledore;not realizing he had just arrived in a street where everything from his name to his boots was unwelcome;The context states that Albus Dumbledore did not seem to realize he had just arrived in a street where everything from his name to his boots was unwelcome
8851b56c021a4ef699f2778ff2b00d8a;albus dumbledore;rummaging in his cloak, looking for something;The context states that Albus Dumbledore was rummaging in his cloak and looking for something
8851b56c021a4ef699f2778ff2b00d8a;albus dumbledore;realizing he was being watched;The context states that Albus Dumbledore realized he was being watched
8851b56c021a4ef699f2778ff2b00d8a;albus dumbledore;looking up suddenly at the cat;The context states that Albus Dumbledore looked up suddenly at the cat
7c0441bed2e246c5a064644b015d6502;harry potter;cat;The cat was staring at Harry Potter, causing him to look up.
7c0441bed2e246c5a064644b015d6502;harry potter;amusement;The sight of the cat amused Harry Potter.
7c0441bed2e246c5a064644b015d6502;harry potter;silver cigarette lighter;Harry Potter found a silver cigarette lighter in his inside pocket.
7c0441bed2e246c5a064644b015d6502;silver cigarette lighter;put-outer;The silver cigarette lighter is also known as the Put-Outer.
7c0441bed2e246c5a064644b015d6502;put-outer;street lamps;The Put-Outer can be used to turn off street lamps.
7c0441bed2e246c5a064644b015d6502;put-outer;darkness;Clicking the Put-Outer results in darkness.
7c0441bed2e246c5a064644b015d6502;harry potter;dumbledore;Dumbledore sat down next to Harry Potter.
42d677c09af745d2aa2da7095a7609e3;harry potter;professor mcgonagall;Harry Potter identifies Professor McGonagall, who had been sitting as a cat, by noticing the way she sits.
42d677c09af745d2aa2da7095a7609e3;harry potter;tabby cat;Harry Potter mistakes the tabby cat for Professor McGonagall before she transforms back.
42d677c09af745d2aa2da7095a7609e3;professor mcgonagall;emerald cloak;Professor McGonagall is wearing an emerald cloak after transforming from a cat.
42d677c09af745d2aa2da7095a7609e3;professor mcgonagall;square glasses;Professor McGonagall wears square glasses that are the shape of the markings around the cat's eyes.
42d677c09af745d2aa2da7095a7609e3;professor mcgonagall;black hair in a tight bun;Professor McGonagall has black hair tied in a bun.
42d677c09af745d2aa2da7095a7609e3;professor mcgonagall;severe-looking woman;Harry Potter perceives Professor McGonagall as a severe-looking woman.
42d677c09af745d2aa2da7095a7609e3;professor mcgonagall;ruffled appearance;Professor McGonagall appears ruffled after sitting on a brick wall all day.
42d677c09af745d2aa2da7095a7609e3;professor mcgonagall;number of feasts and parties on her way here;Professor McGonagall passed by numerous celebrations while making her way to the meeting with Harry Potter.
b734649233ac4eb3bfdab773a79e65ac;muggles;have noticed something's going on;Muggles are aware of unusual events happening
b734649233ac4eb3bfdab773a79e65ac;unusual events;flocks of owls, shooting stars;Unusual events include flocks of owls and shooting stars
b734649233ac4eb3bfdab773a79e65ac;flocks of owls, shooting stars;muggles have noticed;Muggles have observed unusual phenomena such as flocks of owls and shooting stars
b734649233ac4eb3bfdab773a79e65ac;flocks of owls, shooting stars;dedalus diggle;Dedalus Diggle is associated with the unusual events (likely the shooting stars)
b734649233ac4eb3bfdab773a79e65ac;muggles;not completely stupid;Muggles are not considered unintelligent for noticing unusual events
b734649233ac4eb3bfdab773a79e65ac;people;are being downright careless, out on the streets in broad daylight, not even dressed in muggle clothes, swapping rumors;People are behaving recklessly by being outside in broad daylight without Muggle clothing and spreading rumors
b734649233ac4eb3bfdab773a79e65ac;disappearance of youknow-who;people are careless, spreading rumors;People's carelessness and spread of rumors is associated with the disappearance of YouKnow-Who
0a172c4d70d34552bb20440b65f72350;youknow-who;voldemort;In this context, they refer to the same person. Dumbledore is trying to persuade people to call him by his proper name, Voldemort, instead of using the euphemism 'YouKnow-Who'.
0a172c4d70d34552bb20440b65f72350;muggles;non-magical people;In this context, Muggles are referred to as non-magical people. Dumbledore and the others are worried about what might happen if Muggles find out about their existence.
0a172c4d70d34552bb20440b65f72350;lemon drops;a kind of muggle sweet;Dumbledore is fond of lemon drops, which are described as a kind of Muggle sweet. This suggests that there are cultural differences between the magical and non-magical worlds.
17c96105c1404e8fa8440d826854b0dd;you-know-who;voldemort;You-Know-Who is a nickname or alias for the actual name Voldemort, as mentioned in the context.
17c96105c1404e8fa8440d826854b0dd;voldemort;dumbledore;Both are mentioned as individuals having distinct powers, with a history of conflict.
17c96105c1404e8fa8440d826854b0dd;dumbledore;powers;Dumbledore is mentioned to have certain powers that Voldemort has, but he refrains from using them.
17c96105c1404e8fa8440d826854b0dd;powers;nobility;Dumbledore's refrain from using his powers is attributed to his noble character.
17c96105c1404e8fa8440d826854b0dd;professor mcgonagall;anxious;Professor McGonagall is presented as being anxious to discuss a certain topic.
17c96105c1404e8fa8440d826854b0dd;professor mcgonagall;rumors;Professor McGonagall is the source of rumors about Voldemort's disappearance and final defeat.
26c5b0d9c07d41e7baccd8e596c93446;dumbledore;a piercing stare;Dumbledore is receiving a piercing stare from Hermione
26c5b0d9c07d41e7baccd8e596c93446;hermione;a piercing stare;Hermione is directing a piercing stare towards Dumbledore
26c5b0d9c07d41e7baccd8e596c93446;hermione;not believe the rumor;Hermione refuses to believe the rumor about the Potters until Dumbledore confirms it
26c5b0d9c07d41e7baccd8e596c93446;voldemort;turn up in godric's hollow;Voldemort appeared in Godric's Hollow last night
26c5b0d9c07d41e7baccd8e596c93446;voldemort;go to find the potters;Voldemort visited the Potters' residence
26c5b0d9c07d41e7baccd8e596c93446;lily and james potter;are dead;the rumor suggests that Lily and James Potter have passed away
26c5b0d9c07d41e7baccd8e596c93446;voldemort;try to kill the potter's son, harry;Voldemort made an attempt on Harry Potter's life
26c5b0d9c07d41e7baccd8e596c93446;voldemort;could not kill harry potter;Harry Potter survived Voldemort's attack
26c5b0d9c07d41e7baccd8e596c93446;the reason behind harry's survival;unknown;nobody is aware of the cause behind Harry's survival
a098a6a30133471ea74483e217f6742f;voldemort's power;killing harry potter;Voldemort's power somehow broke when he couldn't kill Harry Potter
a098a6a30133471ea74483e217f6742f;voldemort;killing a little boy (harry potter);Voldemort couldn't kill Harry Potter, despite his ability to kill many people in the past
a098a6a30133471ea74483e217f6742f;harry potter;surviving an attack from voldemort;Harry survived an attack from Voldemort, which led to Voldemort's power breaking
a098a6a30133471ea74483e217f6742f;hagrid;being late and informing about dumbledore's whereabouts;Hagrid is late and informed the recipient that Dumbledore would be there
5f82479908824d8b840c6a2bedd670c1;hagrid;being late;Hagrid is the one who is late
5f82479908824d8b840c6a2bedd670c1;hagrid;telling about harry's whereabouts;Hagrid is the one who told Professor McGonagall that Harry would be there
5f82479908824d8b840c6a2bedd670c1;professor mcgonagall;watching the dursleys;Professor McGonagall has been watching the Dursleys all day
5f82479908824d8b840c6a2bedd670c1;dursleys;being harry's only family left;The Dursleys are the only family that Harry has left now
5f82479908824d8b840c6a2bedd670c1;dursleys;not being like hogwarts' people;Professor McGonagall pointed out that the Dursleys are less like Hogwarts' people
5f82479908824d8b840c6a2bedd670c1;dursleys' son;mistreating his mother;Professor McGonagall saw the Dursleys' son kicking his mother all the way up the street
5f82479908824d8b840c6a2bedd670c1;harry potter;living with the dursleys;Dumbledore thinks that it's the best place for Harry to live
5f82479908824d8b840c6a2bedd670c1;harry's aunt and uncle;explaining everything to harry when he's older;Dumbledore thinks that Harry's aunt and uncle will be able to explain everything to him when he's older
5f82479908824d8b840c6a2bedd670c1;dumbledore;writing a letter to the dursleys;Dumbledore has written a letter to the Dursleys
bdb2e4839663467b9aa11e054ef7dd3c;harry potter;legend;Harry Potter will become a legend in the future, as predicted by Ron.
bdb2e4839663467b9aa11e054ef7dd3c;harry potter;famous person;Harry Potter is predicted to be a famous person in the future, as mentioned by Ron.
bdb2e4839663467b9aa11e054ef7dd3c;harry potter day;future event;Harry Potter day is predicted to be a future event, according to Ron.
bdb2e4839663467b9aa11e054ef7dd3c;books;harry potter related;There will be books written about Harry Potter in the future, as stated by Ron.
bdb2e4839663467b9aa11e054ef7dd3c;every child in our world;harry potter knowledgeable group;Every child in our world will know Harry Potter's name, as mentioned by Ron.
bdb2e4839663467b9aa11e054ef7dd3c;harry;unable to remember the event;Harry will not remember the event, as pointed out by Dumbledore.
bdb2e4839663467b9aa11e054ef7dd3c;growing up away from fame;better option for harry;Dumbledore believes that growing up away from fame is a better option for Harry.
bdb2e4839663467b9aa11e054ef7dd3c;hagrid;trusted with bringing harry;Dumbledore trusts Hagrid with bringing Harry.
c36613de4895487183a1548ecd92079e;hagrid;trust;Hagrid is an individual who is trusted by Dumbledore with something important.
c36613de4895487183a1548ecd92079e;hagrid;motorcycle;Hagrid is associated with a huge motorcycle.
c36613de4895487183a1548ecd92079e;motorcycle;falling from sky;The motorcycle falls from the sky.
c36613de4895487183a1548ecd92079e;man on motorcycle;extreme size;The man sitting on the motorcycle is extremely large in size.
88ed240dd542497c973d6ff539661096;hagrid;motorcycle;Hagrid got the motorcycle from Sirius Black
88ed240dd542497c973d6ff539661096;motorcycle;sirius black;The motorcycle belongs to Sirius Black
88ed240dd542497c973d6ff539661096;hagrid;baby boy (harry);Hagrid saved the baby boy and is now holding him
88ed240dd542497c973d6ff539661096;baby boy (harry);curiously shaped cut on the forehead;The baby boy has a cut that looks like a bolt of lightning
88ed240dd542497c973d6ff539661096;curiously shaped cut on the forehead;dumbledore;Dumbledore confirms that the baby boy will have the scar forever
88ed240dd542497c973d6ff539661096;professor mcgonagall;curiously shaped cut on the forehead;Professor McGonagall wonders if that's where the scar is
e166e7938f74495db1014b34b5a82ca8;dumbledore;power to remove scars;Dumbledore has the power to remove scars, but he chooses not to do so for Harry's benefit
e166e7938f74495db1014b34b5a82ca8;scars;usefulness;Scars can be useful, as demonstrated by Dumbledore's scar that acts as a map of the London Underground
e166e7938f74495db1014b34b5a82ca8;hagrid;emotional state;Hagrid is emotionally affected by the death of Lily and James and Harry's upbringing with Muggles
e166e7938f74495db1014b34b5a82ca8;professor mcgonagall;concern for waking muggles;Professor McGonagall is concerned about waking the Dursleys, who are Muggles
4c47529bd66d4ccaa40e6044ba2fc452;hagrid;motorcycle;Hagrid swung himself onto the motorcycle and kicked the engine into life
4c47529bd66d4ccaa40e6044ba2fc452;hagrid;dumbledore;Hagrid and Dumbledore were standing near the door looking at Harry's bundle
4c47529bd66d4ccaa40e6044ba2fc452;hagrid;professor mcgonagall;Hagrid, Professor McGonagall and Dumbledore were looking at Harry's bundle
4c47529bd66d4ccaa40e6044ba2fc452;hagrid;professor mcgonagall;Professor McGonagall patted Hagrid gingerly on the arm
4c47529bd66d4ccaa40e6044ba2fc452;hagrid;sirius;Hagrid was taking Sirius his bike back
4c47529bd66d4ccaa40e6044ba2fc452;dumbledore;harry's blanket;Dumbledore tucked a letter inside Harry's blankets
4c47529bd66d4ccaa40e6044ba2fc452;dumbledore;professor mcgonagall;Dumbledore, Professor McGonagall and Hagrid were standing near Harry's bundle
4c47529bd66d4ccaa40e6044ba2fc452;harry's bundle;doorstep;Harry was lying on the doorstep
4c47529bd66d4ccaa40e6044ba2fc452;dumbledore;celebrations;Dumbledore suggested to join the celebrations
ddf9749327e34206a38ea0f8b56be1f5;harry potter;astonishing things;Harry Potter is associated with astonishing things as he is the subject of those astonishing things
ddf9749327e34206a38ea0f8b56be1f5;harry potter;special;Harry Potter is considered special by people who are holding up their glasses and saying in hushed voices: 'To Harry Potter -- the boy who lived!'
ddf9749327e34206a38ea0f8b56be1f5;harry potter;famous;Harry Potter is famous as people are holding up their glasses and saying in hushed voices: 'To Harry Potter -- the boy who lived!'
ddf9749327e34206a38ea0f8b56be1f5;harry potter;woken up;Harry Potter will be woken up in a few hours' time by Mrs. Dursley's scream as she opens the front door to put out the milk bottles
ddf9749327e34206a38ea0f8b56be1f5;harry potter;prodded and pinched;Harry Potter will be prodded and pinched by his cousin Dudley in the next few weeks
ddf9749327e34206a38ea0f8b56be1f5;people meeting in secret;harry potter;People are holding up their glasses and saying in hushed voices: 'To Harry Potter -- the boy who lived!'
