node_1;node_2;chunk_id;count;edge
albus dumbledore;blue eyes, light, bright and sparkling behind half-moon spectacles;8851b56c021a4ef699f2778ff2b00d8a,8851b56c021a4ef699f2778ff2b00d8a,8851b56c021a4ef699f2778ff2b00d8a,8851b56c021a4ef699f2778ff2b00d8a,8851b56c021a4ef699f2778ff2b00d8a,8851b56c021a4ef699f2778ff2b00d8a,8851b56c021a4ef699f2778ff2b00d8a,8851b56c021a4ef699f2778ff2b00d8a,8851b56c021a4ef699f2778ff2b00d8a,8851b56c021a4ef699f2778ff2b00d8a;10;contextual proximity
albus dumbledore;cat;8851b56c021a4ef699f2778ff2b00d8a,8851b56c021a4ef699f2778ff2b00d8a,8851b56c021a4ef699f2778ff2b00d8a,8851b56c021a4ef699f2778ff2b00d8a,8851b56c021a4ef699f2778ff2b00d8a,8851b56c021a4ef699f2778ff2b00d8a,8851b56c021a4ef699f2778ff2b00d8a,8851b56c021a4ef699f2778ff2b00d8a,8851b56c021a4ef699f2778ff2b00d8a,8851b56c021a4ef699f2778ff2b00d8a;10;contextual proximity
albus dumbledore;corner;8851b56c021a4ef699f2778ff2b00d8a,8851b56c021a4ef699f2778ff2b00d8a,8851b56c021a4ef699f2778ff2b00d8a,8851b56c021a4ef699f2778ff2b00d8a,8851b56c021a4ef699f2778ff2b00d8a,8851b56c021a4ef699f2778ff2b00d8a,8851b56c021a4ef699f2778ff2b00d8a,8851b56c021a4ef699f2778ff2b00d8a,8851b56c021a4ef699f2778ff2b00d8a,8851b56c021a4ef699f2778ff2b00d8a;10;contextual proximity
albus dumbledore;long and crooked nose;8851b56c021a4ef699f2778ff2b00d8a,8851b56c021a4ef699f2778ff2b00d8a,8851b56c021a4ef699f2778ff2b00d8a,8851b56c021a4ef699f2778ff2b00d8a,8851b56c021a4ef699f2778ff2b00d8a,8851b56c021a4ef699f2778ff2b00d8a,8851b56c021a4ef699f2778ff2b00d8a,8851b56c021a4ef699f2778ff2b00d8a,8851b56c021a4ef699f2778ff2b00d8a,8851b56c021a4ef699f2778ff2b00d8a;10;contextual proximity
albus dumbledore;long robes, purple cloak and high-heeled boots;8851b56c021a4ef699f2778ff2b00d8a,8851b56c021a4ef699f2778ff2b00d8a,8851b56c021a4ef699f2778ff2b00d8a,8851b56c021a4ef699f2778ff2b00d8a,8851b56c021a4ef699f2778ff2b00d8a,8851b56c021a4ef699f2778ff2b00d8a,8851b56c021a4ef699f2778ff2b00d8a,8851b56c021a4ef699f2778ff2b00d8a,8851b56c021a4ef699f2778ff2b00d8a,8851b56c021a4ef699f2778ff2b00d8a;10;contextual proximity
albus dumbledore;looking up suddenly at the cat;8851b56c021a4ef699f2778ff2b00d8a,8851b56c021a4ef699f2778ff2b00d8a,8851b56c021a4ef699f2778ff2b00d8a,8851b56c021a4ef699f2778ff2b00d8a,8851b56c021a4ef699f2778ff2b00d8a,8851b56c021a4ef699f2778ff2b00d8a,8851b56c021a4ef699f2778ff2b00d8a,8851b56c021a4ef699f2778ff2b00d8a,8851b56c021a4ef699f2778ff2b00d8a,8851b56c021a4ef699f2778ff2b00d8a;10;contextual proximity
albus dumbledore;man;8851b56c021a4ef699f2778ff2b00d8a,8851b56c021a4ef699f2778ff2b00d8a,8851b56c021a4ef699f2778ff2b00d8a,8851b56c021a4ef699f2778ff2b00d8a,8851b56c021a4ef699f2778ff2b00d8a,8851b56c021a4ef699f2778ff2b00d8a,8851b56c021a4ef699f2778ff2b00d8a,8851b56c021a4ef699f2778ff2b00d8a,8851b56c021a4ef699f2778ff2b00d8a,8851b56c021a4ef699f2778ff2b00d8a,8851b56c021a4ef699f2778ff2b00d8a,8851b56c021a4ef699f2778ff2b00d8a,8851b56c021a4ef699f2778ff2b00d8a,8851b56c021a4ef699f2778ff2b00d8a,8851b56c021a4ef699f2778ff2b00d8a,8851b56c021a4ef699f2778ff2b00d8a,8851b56c021a4ef699f2778ff2b00d8a,8851b56c021a4ef699f2778ff2b00d8a,8851b56c021a4ef699f2778ff2b00d8a,8851b56c021a4ef699f2778ff2b00d8a;20;contextual proximity
albus dumbledore;not realizing he had just arrived in a street where everything from his name to his boots was unwelcome;8851b56c021a4ef699f2778ff2b00d8a,8851b56c021a4ef699f2778ff2b00d8a,8851b56c021a4ef699f2778ff2b00d8a,8851b56c021a4ef699f2778ff2b00d8a,8851b56c021a4ef699f2778ff2b00d8a,8851b56c021a4ef699f2778ff2b00d8a,8851b56c021a4ef699f2778ff2b00d8a,8851b56c021a4ef699f2778ff2b00d8a,8851b56c021a4ef699f2778ff2b00d8a,8851b56c021a4ef699f2778ff2b00d8a;10;contextual proximity
albus dumbledore;privet drive;8851b56c021a4ef699f2778ff2b00d8a,8851b56c021a4ef699f2778ff2b00d8a,8851b56c021a4ef699f2778ff2b00d8a,8851b56c021a4ef699f2778ff2b00d8a,8851b56c021a4ef699f2778ff2b00d8a,8851b56c021a4ef699f2778ff2b00d8a,8851b56c021a4ef699f2778ff2b00d8a,8851b56c021a4ef699f2778ff2b00d8a,8851b56c021a4ef699f2778ff2b00d8a,8851b56c021a4ef699f2778ff2b00d8a;10;contextual proximity
albus dumbledore;realizing he was being watched;8851b56c021a4ef699f2778ff2b00d8a,8851b56c021a4ef699f2778ff2b00d8a,8851b56c021a4ef699f2778ff2b00d8a,8851b56c021a4ef699f2778ff2b00d8a,8851b56c021a4ef699f2778ff2b00d8a,8851b56c021a4ef699f2778ff2b00d8a,8851b56c021a4ef699f2778ff2b00d8a,8851b56c021a4ef699f2778ff2b00d8a,8851b56c021a4ef699f2778ff2b00d8a,8851b56c021a4ef699f2778ff2b00d8a;10;contextual proximity
albus dumbledore;rummaging in his cloak, looking for something;8851b56c021a4ef699f2778ff2b00d8a,8851b56c021a4ef699f2778ff2b00d8a,8851b56c021a4ef699f2778ff2b00d8a,8851b56c021a4ef699f2778ff2b00d8a,8851b56c021a4ef699f2778ff2b00d8a,8851b56c021a4ef699f2778ff2b00d8a,8851b56c021a4ef699f2778ff2b00d8a,8851b56c021a4ef699f2778ff2b00d8a,8851b56c021a4ef699f2778ff2b00d8a,8851b56c021a4ef699f2778ff2b00d8a;10;contextual proximity
albus dumbledore;silver hair and beard;8851b56c021a4ef699f2778ff2b00d8a,8851b56c021a4ef699f2778ff2b00d8a,8851b56c021a4ef699f2778ff2b00d8a,8851b56c021a4ef699f2778ff2b00d8a,8851b56c021a4ef699f2778ff2b00d8a,8851b56c021a4ef699f2778ff2b00d8a,8851b56c021a4ef699f2778ff2b00d8a,8851b56c021a4ef699f2778ff2b00d8a,8851b56c021a4ef699f2778ff2b00d8a,8851b56c021a4ef699f2778ff2b00d8a;10;contextual proximity
albus dumbledore;tall, thin and very old;8851b56c021a4ef699f2778ff2b00d8a,8851b56c021a4ef699f2778ff2b00d8a,8851b56c021a4ef699f2778ff2b00d8a,8851b56c021a4ef699f2778ff2b00d8a,8851b56c021a4ef699f2778ff2b00d8a,8851b56c021a4ef699f2778ff2b00d8a,8851b56c021a4ef699f2778ff2b00d8a,8851b56c021a4ef699f2778ff2b00d8a,8851b56c021a4ef699f2778ff2b00d8a,8851b56c021a4ef699f2778ff2b00d8a;10;contextual proximity
amusement;harry potter;7c0441bed2e246c5a064644b015d6502,7c0441bed2e246c5a064644b015d6502,7c0441bed2e246c5a064644b015d6502,7c0441bed2e246c5a064644b015d6502;4;contextual proximity
amusement;put-outer;7c0441bed2e246c5a064644b015d6502,7c0441bed2e246c5a064644b015d6502,7c0441bed2e246c5a064644b015d6502;3;contextual proximity
amusement;silver cigarette lighter;7c0441bed2e246c5a064644b015d6502,7c0441bed2e246c5a064644b015d6502;2;contextual proximity
anxious;dumbledore;17c96105c1404e8fa8440d826854b0dd,17c96105c1404e8fa8440d826854b0dd;2;contextual proximity
anxious;powers;17c96105c1404e8fa8440d826854b0dd,17c96105c1404e8fa8440d826854b0dd;2;contextual proximity
anxious;professor mcgonagall;17c96105c1404e8fa8440d826854b0dd,17c96105c1404e8fa8440d826854b0dd;2;contextual proximity
anxious;voldemort;17c96105c1404e8fa8440d826854b0dd,17c96105c1404e8fa8440d826854b0dd;2;contextual proximity
are being downright careless, out on the streets in broad daylight, not even dressed in muggle clothes, swapping rumors;flocks of owls, shooting stars;b734649233ac4eb3bfdab773a79e65ac,b734649233ac4eb3bfdab773a79e65ac,b734649233ac4eb3bfdab773a79e65ac;3;contextual proximity
are being downright careless, out on the streets in broad daylight, not even dressed in muggle clothes, swapping rumors;muggles;b734649233ac4eb3bfdab773a79e65ac,b734649233ac4eb3bfdab773a79e65ac;2;contextual proximity
are dead;a piercing stare;26c5b0d9c07d41e7baccd8e596c93446,26c5b0d9c07d41e7baccd8e596c93446;2;contextual proximity
are dead;hermione;26c5b0d9c07d41e7baccd8e596c93446,26c5b0d9c07d41e7baccd8e596c93446;2;contextual proximity
are dead;voldemort;26c5b0d9c07d41e7baccd8e596c93446,26c5b0d9c07d41e7baccd8e596c93446,26c5b0d9c07d41e7baccd8e596c93446,26c5b0d9c07d41e7baccd8e596c93446;4;contextual proximity
astonishing things;harry potter;ddf9749327e34206a38ea0f8b56be1f5,ddf9749327e34206a38ea0f8b56be1f5,ddf9749327e34206a38ea0f8b56be1f5,ddf9749327e34206a38ea0f8b56be1f5,ddf9749327e34206a38ea0f8b56be1f5,ddf9749327e34206a38ea0f8b56be1f5;6;contextual proximity
baby boy (harry);curiously shaped cut on the forehead;88ed240dd542497c973d6ff539661096,88ed240dd542497c973d6ff539661096,88ed240dd542497c973d6ff539661096,88ed240dd542497c973d6ff539661096,88ed240dd542497c973d6ff539661096,88ed240dd542497c973d6ff539661096;6;contextual proximity
baby boy (harry);dumbledore;88ed240dd542497c973d6ff539661096,88ed240dd542497c973d6ff539661096;2;contextual proximity
baby boy (harry);hagrid;88ed240dd542497c973d6ff539661096,88ed240dd542497c973d6ff539661096,88ed240dd542497c973d6ff539661096,88ed240dd542497c973d6ff539661096;4;contextual proximity
baby boy (harry);motorcycle;88ed240dd542497c973d6ff539661096,88ed240dd542497c973d6ff539661096,88ed240dd542497c973d6ff539661096,88ed240dd542497c973d6ff539661096;4;contextual proximity
baby boy (harry);professor mcgonagall;88ed240dd542497c973d6ff539661096,88ed240dd542497c973d6ff539661096;2;contextual proximity
baby boy (harry);sirius black;88ed240dd542497c973d6ff539661096,88ed240dd542497c973d6ff539661096;2;contextual proximity
bakery;he;2f27a545789d4b66a01c45b6b84c1bb6,2f27a545789d4b66a01c45b6b84c1bb6,2f27a545789d4b66a01c45b6b84c1bb6,2f27a545789d4b66a01c45b6b84c1bb6;4;contextual proximity
bakery;mr. dursley;2f27a545789d4b66a01c45b6b84c1bb6,2f27a545789d4b66a01c45b6b84c1bb6,2f27a545789d4b66a01c45b6b84c1bb6;3;contextual proximity
bakery;people in cloaks;2f27a545789d4b66a01c45b6b84c1bb6,2f27a545789d4b66a01c45b6b84c1bb6,2f27a545789d4b66a01c45b6b84c1bb6;3;contextual proximity
being harry's only family left;dursleys;5f82479908824d8b840c6a2bedd670c1,5f82479908824d8b840c6a2bedd670c1;2;contextual proximity
being harry's only family left;hagrid;5f82479908824d8b840c6a2bedd670c1,5f82479908824d8b840c6a2bedd670c1;2;contextual proximity
being late;dursleys;5f82479908824d8b840c6a2bedd670c1,5f82479908824d8b840c6a2bedd670c1;2;contextual proximity
being late;hagrid;5f82479908824d8b840c6a2bedd670c1,5f82479908824d8b840c6a2bedd670c1;2;contextual proximity
better option for harry;harry potter;bdb2e4839663467b9aa11e054ef7dd3c,bdb2e4839663467b9aa11e054ef7dd3c;2;contextual proximity
black hair in a tight bun;harry potter;42d677c09af745d2aa2da7095a7609e3,42d677c09af745d2aa2da7095a7609e3;2;contextual proximity
black hair in a tight bun;professor mcgonagall;42d677c09af745d2aa2da7095a7609e3,42d677c09af745d2aa2da7095a7609e3,42d677c09af745d2aa2da7095a7609e3,42d677c09af745d2aa2da7095a7609e3,42d677c09af745d2aa2da7095a7609e3,42d677c09af745d2aa2da7095a7609e3,42d677c09af745d2aa2da7095a7609e3;7;contextual proximity
blue eyes, light, bright and sparkling behind half-moon spectacles;albus dumbledore;8851b56c021a4ef699f2778ff2b00d8a,8851b56c021a4ef699f2778ff2b00d8a,8851b56c021a4ef699f2778ff2b00d8a,8851b56c021a4ef699f2778ff2b00d8a,8851b56c021a4ef699f2778ff2b00d8a,8851b56c021a4ef699f2778ff2b00d8a,8851b56c021a4ef699f2778ff2b00d8a,8851b56c021a4ef699f2778ff2b00d8a,8851b56c021a4ef699f2778ff2b00d8a,8851b56c021a4ef699f2778ff2b00d8a;10;contextual proximity
blue eyes, light, bright and sparkling behind half-moon spectacles;man;8851b56c021a4ef699f2778ff2b00d8a,8851b56c021a4ef699f2778ff2b00d8a;2;contextual proximity
books;harry potter;bdb2e4839663467b9aa11e054ef7dd3c,bdb2e4839663467b9aa11e054ef7dd3c;2;contextual proximity
boss;man;d7eace97027c48ffa66d081e8995de2b,d7eace97027c48ffa66d081e8995de2b,d7eace97027c48ffa66d081e8995de2b,d7eace97027c48ffa66d081e8995de2b,d7eace97027c48ffa66d081e8995de2b;5;contextual proximity
boss;secretary;d7eace97027c48ffa66d081e8995de2b,d7eace97027c48ffa66d081e8995de2b;2;contextual proximity
car;cat;301738c0377846e784ed8b1b3c46a026,301738c0377846e784ed8b1b3c46a026;2;contextual proximity
car;mr. dursley;301738c0377846e784ed8b1b3c46a026,301738c0377846e784ed8b1b3c46a026,301738c0377846e784ed8b1b3c46a026;3;contextual proximity
cat;albus dumbledore;8851b56c021a4ef699f2778ff2b00d8a,8851b56c021a4ef699f2778ff2b00d8a,8851b56c021a4ef699f2778ff2b00d8a,8851b56c021a4ef699f2778ff2b00d8a,8851b56c021a4ef699f2778ff2b00d8a,8851b56c021a4ef699f2778ff2b00d8a,8851b56c021a4ef699f2778ff2b00d8a,8851b56c021a4ef699f2778ff2b00d8a,8851b56c021a4ef699f2778ff2b00d8a,8851b56c021a4ef699f2778ff2b00d8a;10;contextual proximity
cat;car;301738c0377846e784ed8b1b3c46a026,301738c0377846e784ed8b1b3c46a026;2;contextual proximity
cat;half past eight;301738c0377846e784ed8b1b3c46a026,301738c0377846e784ed8b1b3c46a026;2;contextual proximity
cat;harry potter;7c0441bed2e246c5a064644b015d6502,7c0441bed2e246c5a064644b015d6502,7c0441bed2e246c5a064644b015d6502,7c0441bed2e246c5a064644b015d6502;4;contextual proximity
cat;looking at the sign;5201307e46a34a59b226337712056aac,5201307e46a34a59b226337712056aac;2;contextual proximity
cat;man;8851b56c021a4ef699f2778ff2b00d8a,8851b56c021a4ef699f2778ff2b00d8a;2;contextual proximity
cat;map;301738c0377846e784ed8b1b3c46a026,301738c0377846e784ed8b1b3c46a026;2;contextual proximity
cat;mr. dursley;301738c0377846e784ed8b1b3c46a026,301738c0377846e784ed8b1b3c46a026,301738c0377846e784ed8b1b3c46a026,301738c0377846e784ed8b1b3c46a026,301738c0377846e784ed8b1b3c46a026,301738c0377846e784ed8b1b3c46a026,5201307e46a34a59b226337712056aac,5201307e46a34a59b226337712056aac,5201307e46a34a59b226337712056aac,5201307e46a34a59b226337712056aac;10;contextual proximity
cat;put-outer;7c0441bed2e246c5a064644b015d6502,7c0441bed2e246c5a064644b015d6502,7c0441bed2e246c5a064644b015d6502;3;contextual proximity
cat;silver cigarette lighter;7c0441bed2e246c5a064644b015d6502,7c0441bed2e246c5a064644b015d6502;2;contextual proximity
cat;strangely dressed people;5201307e46a34a59b226337712056aac,5201307e46a34a59b226337712056aac;2;contextual proximity
celebrations;dumbledore;4c47529bd66d4ccaa40e6044ba2fc452,4c47529bd66d4ccaa40e6044ba2fc452,4c47529bd66d4ccaa40e6044ba2fc452,4c47529bd66d4ccaa40e6044ba2fc452;4;contextual proximity
celebrations;hagrid;4c47529bd66d4ccaa40e6044ba2fc452,4c47529bd66d4ccaa40e6044ba2fc452,4c47529bd66d4ccaa40e6044ba2fc452,4c47529bd66d4ccaa40e6044ba2fc452,4c47529bd66d4ccaa40e6044ba2fc452;5;contextual proximity
celebrations;professor mcgonagall;4c47529bd66d4ccaa40e6044ba2fc452,4c47529bd66d4ccaa40e6044ba2fc452,4c47529bd66d4ccaa40e6044ba2fc452;3;contextual proximity
collecting tin;he;2f27a545789d4b66a01c45b6b84c1bb6,2f27a545789d4b66a01c45b6b84c1bb6,2f27a545789d4b66a01c45b6b84c1bb6,2f27a545789d4b66a01c45b6b84c1bb6;4;contextual proximity
collecting tin;mr. dursley;2f27a545789d4b66a01c45b6b84c1bb6,2f27a545789d4b66a01c45b6b84c1bb6,2f27a545789d4b66a01c45b6b84c1bb6;3;contextual proximity
collecting tin;people in cloaks;2f27a545789d4b66a01c45b6b84c1bb6,2f27a545789d4b66a01c45b6b84c1bb6,2f27a545789d4b66a01c45b6b84c1bb6;3;contextual proximity
corner;albus dumbledore;8851b56c021a4ef699f2778ff2b00d8a,8851b56c021a4ef699f2778ff2b00d8a,8851b56c021a4ef699f2778ff2b00d8a,8851b56c021a4ef699f2778ff2b00d8a,8851b56c021a4ef699f2778ff2b00d8a,8851b56c021a4ef699f2778ff2b00d8a,8851b56c021a4ef699f2778ff2b00d8a,8851b56c021a4ef699f2778ff2b00d8a,8851b56c021a4ef699f2778ff2b00d8a,8851b56c021a4ef699f2778ff2b00d8a;10;contextual proximity
corner;man;8851b56c021a4ef699f2778ff2b00d8a,8851b56c021a4ef699f2778ff2b00d8a;2;contextual proximity
could not kill harry potter;a piercing stare;26c5b0d9c07d41e7baccd8e596c93446,26c5b0d9c07d41e7baccd8e596c93446;2;contextual proximity
could not kill harry potter;hermione;26c5b0d9c07d41e7baccd8e596c93446,26c5b0d9c07d41e7baccd8e596c93446;2;contextual proximity
could not kill harry potter;voldemort;26c5b0d9c07d41e7baccd8e596c93446,26c5b0d9c07d41e7baccd8e596c93446,26c5b0d9c07d41e7baccd8e596c93446,26c5b0d9c07d41e7baccd8e596c93446;4;contextual proximity
curiously shaped cut on the forehead;baby boy (harry);88ed240dd542497c973d6ff539661096,88ed240dd542497c973d6ff539661096,88ed240dd542497c973d6ff539661096,88ed240dd542497c973d6ff539661096,88ed240dd542497c973d6ff539661096,88ed240dd542497c973d6ff539661096;6;contextual proximity
curiously shaped cut on the forehead;dumbledore;88ed240dd542497c973d6ff539661096,88ed240dd542497c973d6ff539661096,88ed240dd542497c973d6ff539661096;3;contextual proximity
curiously shaped cut on the forehead;hagrid;88ed240dd542497c973d6ff539661096,88ed240dd542497c973d6ff539661096,88ed240dd542497c973d6ff539661096,88ed240dd542497c973d6ff539661096,88ed240dd542497c973d6ff539661096,88ed240dd542497c973d6ff539661096;6;contextual proximity
curiously shaped cut on the forehead;motorcycle;88ed240dd542497c973d6ff539661096,88ed240dd542497c973d6ff539661096,88ed240dd542497c973d6ff539661096,88ed240dd542497c973d6ff539661096,88ed240dd542497c973d6ff539661096,88ed240dd542497c973d6ff539661096;6;contextual proximity
curiously shaped cut on the forehead;professor mcgonagall;88ed240dd542497c973d6ff539661096,88ed240dd542497c973d6ff539661096,88ed240dd542497c973d6ff539661096;3;contextual proximity
curiously shaped cut on the forehead;sirius black;88ed240dd542497c973d6ff539661096,88ed240dd542497c973d6ff539661096,88ed240dd542497c973d6ff539661096;3;contextual proximity
darkness;harry potter;7c0441bed2e246c5a064644b015d6502,7c0441bed2e246c5a064644b015d6502,7c0441bed2e246c5a064644b015d6502,7c0441bed2e246c5a064644b015d6502;4;contextual proximity
darkness;put-outer;7c0441bed2e246c5a064644b015d6502,7c0441bed2e246c5a064644b015d6502,7c0441bed2e246c5a064644b015d6502;3;contextual proximity
darkness;silver cigarette lighter;7c0441bed2e246c5a064644b015d6502,7c0441bed2e246c5a064644b015d6502;2;contextual proximity
daughter's problems;mr. dursley;2171e130a9bd43c68c02188858261b85,2171e130a9bd43c68c02188858261b85;2;contextual proximity
daughter's problems;tabby cat;2171e130a9bd43c68c02188858261b85,2171e130a9bd43c68c02188858261b85,2171e130a9bd43c68c02188858261b85;3;contextual proximity
daughter's problems;unusual behavior;2171e130a9bd43c68c02188858261b85,2171e130a9bd43c68c02188858261b85;2;contextual proximity
dedalus diggle;flocks of owls, shooting stars;b734649233ac4eb3bfdab773a79e65ac,b734649233ac4eb3bfdab773a79e65ac,b734649233ac4eb3bfdab773a79e65ac;3;contextual proximity
dedalus diggle;muggles;b734649233ac4eb3bfdab773a79e65ac,b734649233ac4eb3bfdab773a79e65ac;2;contextual proximity
disappearance of youknow-who;flocks of owls, shooting stars;b734649233ac4eb3bfdab773a79e65ac,b734649233ac4eb3bfdab773a79e65ac,b734649233ac4eb3bfdab773a79e65ac;3;contextual proximity
disappearance of youknow-who;muggles;b734649233ac4eb3bfdab773a79e65ac,b734649233ac4eb3bfdab773a79e65ac;2;contextual proximity
doorstep;dumbledore;4c47529bd66d4ccaa40e6044ba2fc452,4c47529bd66d4ccaa40e6044ba2fc452,4c47529bd66d4ccaa40e6044ba2fc452,4c47529bd66d4ccaa40e6044ba2fc452;4;contextual proximity
doorstep;hagrid;4c47529bd66d4ccaa40e6044ba2fc452,4c47529bd66d4ccaa40e6044ba2fc452,4c47529bd66d4ccaa40e6044ba2fc452,4c47529bd66d4ccaa40e6044ba2fc452,4c47529bd66d4ccaa40e6044ba2fc452;5;contextual proximity
doorstep;professor mcgonagall;4c47529bd66d4ccaa40e6044ba2fc452,4c47529bd66d4ccaa40e6044ba2fc452,4c47529bd66d4ccaa40e6044ba2fc452;3;contextual proximity
driving;looking at the sign;5201307e46a34a59b226337712056aac,5201307e46a34a59b226337712056aac;2;contextual proximity
driving;mr. dursley;5201307e46a34a59b226337712056aac,5201307e46a34a59b226337712056aac,5201307e46a34a59b226337712056aac,5201307e46a34a59b226337712056aac;4;contextual proximity
driving;strangely dressed people;5201307e46a34a59b226337712056aac,5201307e46a34a59b226337712056aac;2;contextual proximity
dudley;mr. dursley;55fba9390d9b40a9b2080b407539097c,48e4a5ce2c81495db5523f7dcbc077d6,2171e130a9bd43c68c02188858261b85,2171e130a9bd43c68c02188858261b85;4;contextual proximity
dudley;tabby cat;2171e130a9bd43c68c02188858261b85,2171e130a9bd43c68c02188858261b85,2171e130a9bd43c68c02188858261b85;3;contextual proximity
dudley;the dursleys;55fba9390d9b40a9b2080b407539097c,55fba9390d9b40a9b2080b407539097c,55fba9390d9b40a9b2080b407539097c,48e4a5ce2c81495db5523f7dcbc077d6;4;contextual proximity
dudley;unusual behavior;2171e130a9bd43c68c02188858261b85,2171e130a9bd43c68c02188858261b85;2;contextual proximity
dudley's age;harry;de8390d2666c4b31ab146f95461b7042,de8390d2666c4b31ab146f95461b7042;2;contextual proximity
dudley's age;their son;de8390d2666c4b31ab146f95461b7042,de8390d2666c4b31ab146f95461b7042;2;contextual proximity
dumbledore;a piercing stare;26c5b0d9c07d41e7baccd8e596c93446,26c5b0d9c07d41e7baccd8e596c93446;2;contextual proximity
dumbledore;anxious;17c96105c1404e8fa8440d826854b0dd,17c96105c1404e8fa8440d826854b0dd;2;contextual proximity
dumbledore;baby boy (harry);88ed240dd542497c973d6ff539661096,88ed240dd542497c973d6ff539661096;2;contextual proximity
dumbledore;celebrations;4c47529bd66d4ccaa40e6044ba2fc452,4c47529bd66d4ccaa40e6044ba2fc452,4c47529bd66d4ccaa40e6044ba2fc452,4c47529bd66d4ccaa40e6044ba2fc452;4;contextual proximity
dumbledore;curiously shaped cut on the forehead;88ed240dd542497c973d6ff539661096,88ed240dd542497c973d6ff539661096,88ed240dd542497c973d6ff539661096;3;contextual proximity
dumbledore;doorstep;4c47529bd66d4ccaa40e6044ba2fc452,4c47529bd66d4ccaa40e6044ba2fc452,4c47529bd66d4ccaa40e6044ba2fc452,4c47529bd66d4ccaa40e6044ba2fc452;4;contextual proximity
dumbledore;dursleys;5f82479908824d8b840c6a2bedd670c1,5f82479908824d8b840c6a2bedd670c1;2;contextual proximity
dumbledore;hagrid;5f82479908824d8b840c6a2bedd670c1,5f82479908824d8b840c6a2bedd670c1,88ed240dd542497c973d6ff539661096,88ed240dd542497c973d6ff539661096,e166e7938f74495db1014b34b5a82ca8,4c47529bd66d4ccaa40e6044ba2fc452,4c47529bd66d4ccaa40e6044ba2fc452,4c47529bd66d4ccaa40e6044ba2fc452,4c47529bd66d4ccaa40e6044ba2fc452,4c47529bd66d4ccaa40e6044ba2fc452,4c47529bd66d4ccaa40e6044ba2fc452,4c47529bd66d4ccaa40e6044ba2fc452,4c47529bd66d4ccaa40e6044ba2fc452,4c47529bd66d4ccaa40e6044ba2fc452,4c47529bd66d4ccaa40e6044ba2fc452,4c47529bd66d4ccaa40e6044ba2fc452,4c47529bd66d4ccaa40e6044ba2fc452,4c47529bd66d4ccaa40e6044ba2fc452,4c47529bd66d4ccaa40e6044ba2fc452,4c47529bd66d4ccaa40e6044ba2fc452,4c47529bd66d4ccaa40e6044ba2fc452,4c47529bd66d4ccaa40e6044ba2fc452,4c47529bd66d4ccaa40e6044ba2fc452,4c47529bd66d4ccaa40e6044ba2fc452,4c47529bd66d4ccaa40e6044ba2fc452;25;contextual proximity
